Currency,Address,Environment
BTC,mtGteWKw4x74iogJDNA76PPYN5hEqEe1TE,Development
ETH,0x40947142eAB3C89fEbb3800E4F6fdc34c503A2C5,Development
ETH,0x89e80360e589778942d990375a62231500dFA972,Production
ETH,0xC379F34E272149F646eD91ac7d2fab6F0d68DeE7,Production
ETH,0x82cf32B3aC35107D22bD4B4D87d23cd34F88a81a,Production
ETH,0x5661345f340604324F5a0bb760347172f192d474,Production
ETH,0x4d7f655aBEdB606FCfb565787E49EeE3063C03d0,Production
BTC,1AbQXYhidcJhA44Ag51q6FvTCGq6Gb2nXJ,Production
BTC,176fkdJDmJVZWH5TcWAFty8QCsdZPXVcvB,Production
BTC,18RF3DgK4548FJWmoGp6Wp2x14eJHybvSJ,Production
BTC,17jCye5RD5BXXdsd7xzQNR4qiJdJj3gcQZ,Production
BTC,19zWeF5pNVkWijQEsgsUCpzH8rtWM128RM,Production
BTC,1ErukgLjKYncw7LjUAZ3JCNnPyfefk2Has,Production
BTC,12D2ogvQq1aCXjFQnLdoSmo17msmpcm4hj,Production
BTC,1FQE5DLPCBWC9GV2CaqRHnuqK8AxnE8aXD,Production
BTC,18ByKZrppapVmqxaHHdtBwPXbm3kxMdEG1,Production
BTC,1BhNKhFvoczAGMozvtuKPJqo67Fee7RDnj,Production
